filename,category_id,chinese_name,english_name
img_000051.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000052.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000053.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000054.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000055.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000056.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000057.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000058.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000059.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000060.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000061.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000062.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000063.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000064.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000065.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000066.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000067.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000068.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000069.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000070.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000071.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000072.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000073.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000074.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000075.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000076.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000077.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000078.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000079.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000080.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000081.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
img_000082.jpg,164,紫叶竹节秋海棠（紫竹梅）,Tradescantia pallida
